Codice,Descrizione,Fonte_AS400,Quantita_AS400,Quantita_WebApp,Differenza,Status,Magazzino_Web,Stato,Ubicazione,Note
94884,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,11D,
95052,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,11E,
95167,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,"altro, in_magazzino, in_utilizzo","-, 15A",luca | sala riunioni
95281,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,9D,
95305,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,7D,*solo per Cosmofarma
95412,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,15A,
95592,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,9B,1 pz ha l'imballo riciclato
95748,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,9B,
95876,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,"2, laboratorio","-, SPEDITO",*guasto ex Linfa Oberdan da verificare
95947,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,in_magazzino,3C,*garanzia 12mesi - PROMO COSMOFARMA
96046,,Solo_WebApp,0,3,3,⚠️ WEBAPP +3,farmacia,"baia_uscita, laboratorio",15c,PC guasto Farmacia Milano
94910,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,altro,6B,
94966,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,"IN_MAGAZZINO, baia_uscita","-, 10D",Rientrato da RHO 3 - guasto
95049,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,grossisti,in_magazzino,11A,
95151,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,"altro, in_magazzino","-, 7D",*Cosmofarma | *TEST MATTEO server campospinoso
95242,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,11E,*dentro al 95578
95268,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,11D,
95272,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,9B,
95273,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,9B,
95409,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,"10B, 15A",ID TAG ( non prelevare per altro ) | Id Tag ( Non Prelevare Per Altro )
95578,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,11E,"*vendere assieme al 0095242, si trova già dentro alla scatola"
95601,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,12D,
95608,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,9C,
95641,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,12C,
95646,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,grossisti,"altro, in_magazzino","-, 8B",test matteo
95680,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,10A,
95953,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,9B,
96062,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,"altro, in_magazzino","-, 7B",sala riunioni
96081,,Solo_WebApp,0,2,2,⚠️ WEBAPP +2,farmacia,in_magazzino,8B,
245,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,10D,
564,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
94838,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,11C,
94963,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
94964,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95001,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,11D,
95136,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,15A,
95195,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,11E,
95196,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95252,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95257,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95258,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95294,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95314,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,1,baia_uscita,
95378,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,11D,
95439,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95442,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95585,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,10B,
95609,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95625,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9C,
95663,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95678,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95749,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,7A,
95770,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,altro,-,sottoscala
95776,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,8B,
95780,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,9B,
95882,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,in_magazzino,8B,
95949,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,baia_uscita,-,*ex monitor Poce guasto - verificare
96074,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,,laboratorio,farmacia,
96142,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,1,laboratorio,
96221,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,1,baia_uscita,
96222,,Solo_WebApp,0,1,1,⚠️ WEBAPP +1,farmacia,1,baia_uscita,
